City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Bouna,CI,72.7,broken clouds,9.2667,-3.0,Hotel Reserve
484,Arzamas,RU,62.06,moderate rain,55.3949,43.8399,Hotel Lyuks
485,Bumba,CD,73.31,light rain,2.1833,22.4667,Hôtel Cape Town
489,Itamarandiba,BR,61.14,overcast clouds,-17.8572,-42.8589,Aricanduva Hotel
490,Moche,PE,66.38,clear sky,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
493,Virginia Beach,US,74.01,moderate rain,36.8529,-75.978,Hilton Virginia Beach Oceanfront
497,Kaputa,ZM,67.77,clear sky,-8.4689,29.6619,Chelelwa Charlets
499,Aparecida do Taboado,BR,69.69,overcast clouds,-20.0867,-51.0936,Aritana
506,Feldbach,AT,64.15,overcast clouds,46.9531,15.8883,Pfeiler's Bürgerstüberl - Hotel
509,Beira,MZ,66.29,clear sky,-19.8436,34.8389,Beira Terrace Hotel
510,Terrace Bay,CA,73.02,overcast clouds,48.7834,-87.1,Drifters Motel & Restaurant
513,Lucapa,AO,66.97,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
517,Caraí,BR,60.24,scattered clouds,-17.1889,-41.6947,Pousada Auto Vale
518,Tubmanburg,LR,72.07,broken clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
522,Xai-Xai,MZ,60.08,clear sky,-25.0519,33.6442,Complexo da Familia
523,Ochakiv,UA,69.94,overcast clouds,46.6128,31.5498,Briz
524,Aku,NG,71.49,light rain,6.7081,7.3167,Diewa Hotel And Resort
526,Goderich,CA,73.9,clear sky,43.7501,-81.7165,Harmony Inn
529,Madawaska,US,73.45,broken clouds,47.3561,-68.3288,Best Western Plus Edmundston Hotel
535,Florianópolis,BR,60.62,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
537,Malakal,SS,72.73,overcast clouds,9.5334,31.6605,Nile Palace Hotel
541,Sainte-Suzanne,RE,68.22,clear sky,-20.9061,55.6089,Gites Ango
542,Luanda,AO,69.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
